,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
0,EMA_15_CE_strategy,NIFTY,2022-01-03,CE,50,2022-01-06,17500,10:00:00,94.5,15:15:00,186.3
1,EMA_15_CE_strategy,NIFTY,2022-01-11,CE,50,2022-01-13,18000,10:30:00,108.8,14:45:00,108.8
2,EMA_15_CE_strategy,NIFTY,2022-01-12,CE,50,2022-01-13,18200,14:30:00,52.7,15:15:00,68.1
3,EMA_15_CE_strategy,NIFTY,2022-01-13,CE,50,2022-01-13,18200,11:00:00,41.8,13:00:00,36.95
4,EMA_15_CE_strategy,NIFTY,2022-01-14,CE,50,2022-01-20,18200,12:30:00,133.6,15:15:00,174.95
5,EMA_15_CE_strategy,NIFTY,2022-01-17,CE,50,2022-01-20,18300,14:00:00,108.7,15:15:00,113.35
6,EMA_15_CE_strategy,NIFTY,2022-01-19,CE,50,2022-01-20,18000,14:45:00,49.3,15:15:00,39.45
7,EMA_15_CE_strategy,NIFTY,2022-01-21,CE,50,2022-01-27,17700,12:15:00,131.15,13:30:00,112.1
8,EMA_15_CE_strategy,NIFTY,2022-01-25,CE,50,2022-01-27,17200,10:00:00,124.7,10:15:00,86.1
9,EMA_15_CE_strategy,NIFTY,2022-01-25,CE,50,2022-01-27,17100,12:30:00,132.35,12:45:00,122.35
10,EMA_15_CE_strategy,NIFTY,2022-01-25,CE,50,2022-01-27,17100,13:15:00,146.0,15:15:00,233.8
11,EMA_15_CE_strategy,NIFTY,2022-01-27,CE,50,2022-01-27,17000,13:15:00,48.8,15:15:00,112.05
12,EMA_15_CE_strategy,NIFTY,2022-01-31,CE,50,2022-02-03,17400,14:15:00,228.0,15:15:00,208.4
13,EMA_15_CE_strategy,NIFTY,2022-02-01,CE,50,2022-02-03,17500,14:00:00,152.5,15:15:00,169.85
14,EMA_15_CE_strategy,NIFTY,2022-02-04,CE,50,2022-02-10,17600,10:00:00,152.25,10:15:00,129.0
15,EMA_15_CE_strategy,NIFTY,2022-02-04,CE,50,2022-02-10,17600,11:30:00,139.85,11:45:00,127.45
16,EMA_15_CE_strategy,NIFTY,2022-02-04,CE,50,2022-02-10,17600,14:00:00,123.9,14:45:00,102.0
17,EMA_15_CE_strategy,NIFTY,2022-02-08,CE,50,2022-02-10,17200,09:45:00,142.3,10:00:00,127.4
18,EMA_15_CE_strategy,NIFTY,2022-02-08,CE,50,2022-02-10,17200,12:00:00,105.4,13:15:00,85.1
19,EMA_15_CE_strategy,NIFTY,2022-02-08,CE,50,2022-02-10,17200,13:45:00,109.25,14:15:00,90.65
20,EMA_15_CE_strategy,NIFTY,2022-02-08,CE,50,2022-02-10,17200,14:45:00,104.7,15:15:00,139.4
21,EMA_15_CE_strategy,NIFTY,2022-02-10,CE,50,2022-02-10,17500,10:15:00,51.2,15:15:00,106.9
22,EMA_15_CE_strategy,NIFTY,2022-02-11,CE,50,2022-02-17,17400,12:45:00,147.4,14:15:00,130.0
23,EMA_15_CE_strategy,NIFTY,2022-02-15,CE,50,2022-02-17,16900,11:00:00,146.15,15:15:00,476.4
24,EMA_15_CE_strategy,NIFTY,2022-02-16,CE,50,2022-02-17,17300,11:30:00,106.95,14:45:00,115.35
25,EMA_15_CE_strategy,NIFTY,2022-02-17,CE,50,2022-02-17,17400,11:00:00,37.7,11:45:00,22.4
26,EMA_15_CE_strategy,NIFTY,2022-02-18,CE,50,2022-02-24,17300,11:15:00,214.2,14:15:00,202.65
27,EMA_15_CE_strategy,NIFTY,2022-02-22,CE,50,2022-02-24,17000,14:00:00,131.8,15:15:00,187.8
28,EMA_15_CE_strategy,NIFTY,2022-02-23,CE,50,2022-02-24,17200,13:15:00,70.15,14:00:00,55.45
29,EMA_15_CE_strategy,NIFTY,2022-02-23,CE,50,2022-02-24,17200,15:00:00,57.75,15:15:00,30.0
30,EMA_15_CE_strategy,NIFTY,2022-02-25,CE,50,2022-03-03,16700,14:15:00,213.35,14:45:00,198.4
31,EMA_15_CE_strategy,NIFTY,2022-02-28,CE,50,2022-03-03,16600,11:00:00,217.8,15:15:00,345.65
32,EMA_15_CE_strategy,NIFTY,2022-03-04,CE,50,2022-03-10,16300,12:45:00,264.6,14:45:00,225.8
33,EMA_15_CE_strategy,NIFTY,2022-03-08,CE,50,2022-03-10,15900,10:15:00,201.85,10:45:00,168.85
34,EMA_15_CE_strategy,NIFTY,2022-03-08,CE,50,2022-03-10,15800,13:45:00,193.1,15:15:00,315.8
35,EMA_15_CE_strategy,NIFTY,2022-03-10,CE,50,2022-03-10,16700,13:30:00,28.2,13:45:00,12.1
36,EMA_15_CE_strategy,NIFTY,2022-03-10,CE,50,2022-03-10,16600,14:45:00,21.95,15:15:00,12.8
37,EMA_15_CE_strategy,NIFTY,2022-03-11,CE,50,2022-03-17,16600,11:00:00,248.15,13:15:00,225.7
38,EMA_15_CE_strategy,NIFTY,2022-03-11,CE,50,2022-03-17,16700,14:45:00,199.0,15:15:00,190.7
39,EMA_15_CE_strategy,NIFTY,2022-03-14,CE,50,2022-03-17,16700,10:00:00,191.9,15:15:00,310.2
40,EMA_15_CE_strategy,NIFTY,2022-03-15,CE,50,2022-03-17,16900,10:15:00,164.9,11:00:00,150.05
41,EMA_15_CE_strategy,NIFTY,2022-03-15,CE,50,2022-03-17,16900,12:00:00,166.85,12:45:00,124.85
42,EMA_15_CE_strategy,NIFTY,2022-03-16,CE,50,2022-03-17,16900,09:45:00,137.0,13:15:00,108.2
43,EMA_15_CE_strategy,NIFTY,2022-03-16,CE,50,2022-03-17,16900,13:30:00,128.35,15:15:00,180.45
44,EMA_15_CE_strategy,NIFTY,2022-03-22,CE,50,2022-03-24,17200,12:45:00,147.7,15:15:00,227.05
45,EMA_15_CE_strategy,NIFTY,2022-03-23,CE,50,2022-03-24,17300,14:30:00,95.15,15:15:00,79.35
46,EMA_15_CE_strategy,NIFTY,2022-03-24,CE,50,2022-03-24,17300,10:00:00,47.35,10:30:00,25.5
47,EMA_15_CE_strategy,NIFTY,2022-03-24,CE,50,2022-03-24,17300,11:15:00,46.95,12:00:00,21.3
48,EMA_15_CE_strategy,NIFTY,2022-03-25,CE,50,2022-03-31,17300,10:00:00,163.0,15:15:00,119.0
49,EMA_15_CE_strategy,NIFTY,2022-03-28,CE,50,2022-03-31,17100,12:30:00,161.05,15:15:00,236.35
50,EMA_15_CE_strategy,NIFTY,2022-03-29,CE,50,2022-03-31,17300,12:15:00,112.95,13:30:00,102.05
51,EMA_15_CE_strategy,NIFTY,2022-03-29,CE,50,2022-03-31,17300,14:15:00,110.5,15:15:00,127.8
52,EMA_15_CE_strategy,NIFTY,2022-03-30,CE,50,2022-03-31,17500,15:00:00,84.5,15:15:00,76.85
53,EMA_15_CE_strategy,NIFTY,2022-03-31,CE,50,2022-03-31,17500,12:45:00,34.85,13:30:00,21.95
54,EMA_15_CE_strategy,NIFTY,2022-04-01,CE,50,2022-04-07,17500,09:45:00,154.25,15:15:00,253.55
55,EMA_15_CE_strategy,NIFTY,2022-04-05,CE,50,2022-04-07,18100,13:00:00,70.9,14:00:00,71.6
56,EMA_15_CE_strategy,NIFTY,2022-04-06,CE,50,2022-04-07,18000,12:45:00,33.6,13:00:00,21.55
57,EMA_15_CE_strategy,NIFTY,2022-04-07,CE,50,2022-04-07,17800,12:00:00,13.55,13:30:00,3.5
58,EMA_15_CE_strategy,NIFTY,2022-04-08,CE,50,2022-04-13,17700,11:00:00,137.3,11:15:00,117.85
59,EMA_15_CE_strategy,NIFTY,2022-04-08,CE,50,2022-04-13,17800,12:00:00,101.55,15:15:00,131.75
60,EMA_15_CE_strategy,NIFTY,2022-04-11,CE,50,2022-04-13,17800,13:00:00,80.85,14:00:00,63.05
61,EMA_15_CE_strategy,NIFTY,2022-04-12,CE,50,2022-04-13,17600,14:15:00,44.55,15:15:00,30.4
62,EMA_15_CE_strategy,NIFTY,2022-04-18,CE,50,2022-04-21,17200,14:45:00,130.8,15:15:00,129.95
63,EMA_15_CE_strategy,NIFTY,2022-04-19,CE,50,2022-04-21,17300,13:30:00,65.35,14:45:00,52.1
64,EMA_15_CE_strategy,NIFTY,2022-04-20,CE,50,2022-04-21,17100,10:30:00,91.25,10:45:00,80.15
65,EMA_15_CE_strategy,NIFTY,2022-04-20,CE,50,2022-04-21,17100,12:15:00,83.05,14:00:00,71.4
66,EMA_15_CE_strategy,NIFTY,2022-04-20,CE,50,2022-04-21,17200,14:45:00,44.55,15:15:00,37.8
67,EMA_15_CE_strategy,NIFTY,2022-04-22,CE,50,2022-04-28,17300,12:45:00,148.6,15:15:00,89.0
68,EMA_15_CE_strategy,NIFTY,2022-04-26,CE,50,2022-04-28,17200,09:45:00,96.3,13:00:00,59.2
69,EMA_15_CE_strategy,NIFTY,2022-04-26,CE,50,2022-04-28,17100,13:30:00,117.25,15:15:00,166.9
70,EMA_15_CE_strategy,NIFTY,2022-04-27,CE,50,2022-04-28,17100,13:45:00,64.65,14:30:00,54.1
71,EMA_15_CE_strategy,NIFTY,2022-04-27,CE,50,2022-04-28,17100,14:45:00,73.0,15:15:00,52.85
72,EMA_15_CE_strategy,NIFTY,2022-04-28,CE,50,2022-04-28,17100,09:45:00,55.7,15:15:00,138.45
73,EMA_15_CE_strategy,NIFTY,2022-05-02,CE,50,2022-05-05,17100,15:00:00,120.0,15:15:00,113.1
74,EMA_15_CE_strategy,NIFTY,2022-05-05,CE,50,2022-05-05,16900,09:45:00,32.75,11:45:00,28.9
75,EMA_15_CE_strategy,NIFTY,2022-05-05,CE,50,2022-05-05,16900,12:45:00,22.45,13:15:00,6.55
76,EMA_15_CE_strategy,NIFTY,2022-05-06,CE,50,2022-05-12,16400,14:15:00,212.0,15:15:00,191.85
77,EMA_15_CE_strategy,NIFTY,2022-05-09,CE,50,2022-05-12,16300,14:45:00,178.0,15:15:00,152.15
78,EMA_15_CE_strategy,NIFTY,2022-05-10,CE,50,2022-05-12,16300,10:30:00,144.1,11:30:00,135.2
79,EMA_15_CE_strategy,NIFTY,2022-05-10,CE,50,2022-05-12,16300,11:45:00,147.1,13:30:00,143.85
80,EMA_15_CE_strategy,NIFTY,2022-05-10,CE,50,2022-05-12,16400,14:15:00,112.0,15:00:00,74.8
81,EMA_15_CE_strategy,NIFTY,2022-05-11,CE,50,2022-05-12,16100,14:00:00,110.2,15:15:00,126.95
82,EMA_15_CE_strategy,NIFTY,2022-05-13,CE,50,2022-05-19,16000,09:45:00,172.25,14:15:00,139.6
83,EMA_15_CE_strategy,NIFTY,2022-05-16,CE,50,2022-05-19,15900,09:45:00,180.35,11:00:00,163.2
84,EMA_15_CE_strategy,NIFTY,2022-05-16,CE,50,2022-05-19,15900,11:15:00,175.45,11:30:00,158.3
85,EMA_15_CE_strategy,NIFTY,2022-05-16,CE,50,2022-05-19,15900,13:45:00,143.8,15:00:00,125.0
86,EMA_15_CE_strategy,NIFTY,2022-05-17,CE,50,2022-05-19,16000,09:45:00,111.3,15:15:00,289.3
87,EMA_15_CE_strategy,NIFTY,2022-05-18,CE,50,2022-05-19,16300,13:45:00,101.75,14:15:00,55.0
88,EMA_15_CE_strategy,NIFTY,2022-05-20,CE,50,2022-05-26,16100,09:45:00,190.3,15:15:00,270.1
89,EMA_15_CE_strategy,NIFTY,2022-05-24,CE,50,2022-05-26,16200,11:45:00,134.05,12:15:00,114.7
90,EMA_15_CE_strategy,NIFTY,2022-05-25,CE,50,2022-05-26,16200,11:15:00,80.6,11:30:00,64.2
91,EMA_15_CE_strategy,NIFTY,2022-05-26,CE,50,2022-05-26,16000,13:00:00,29.95,15:15:00,162.65
92,EMA_15_CE_strategy,NIFTY,2022-05-27,CE,50,2022-06-02,16300,12:30:00,167.05,15:15:00,177.15
93,EMA_15_CE_strategy,NIFTY,2022-05-30,CE,50,2022-06-02,16600,15:00:00,161.3,15:15:00,153.55
94,EMA_15_CE_strategy,NIFTY,2022-05-31,CE,50,2022-06-02,16600,10:30:00,126.95,12:45:00,134.4
95,EMA_15_CE_strategy,NIFTY,2022-05-31,CE,50,2022-06-02,16700,13:45:00,91.55,15:15:00,46.45
96,EMA_15_CE_strategy,NIFTY,2022-06-01,CE,50,2022-06-02,16600,10:30:00,98.2,11:15:00,85.6
97,EMA_15_CE_strategy,NIFTY,2022-06-02,CE,50,2022-06-02,16500,10:15:00,67.85,11:00:00,55.45
98,EMA_15_CE_strategy,NIFTY,2022-06-02,CE,50,2022-06-02,16500,11:30:00,66.9,15:15:00,128.35
99,EMA_15_CE_strategy,NIFTY,2022-06-03,CE,50,2022-06-09,16700,14:15:00,162.7,14:30:00,133.2
100,EMA_15_CE_strategy,NIFTY,2022-06-06,CE,50,2022-06-09,16600,12:15:00,116.65,15:15:00,115.5
101,EMA_15_CE_strategy,NIFTY,2022-06-07,CE,50,2022-06-09,16400,14:30:00,126.2,15:15:00,122.1
102,EMA_15_CE_strategy,NIFTY,2022-06-08,CE,50,2022-06-09,16500,10:45:00,93.95,13:15:00,37.85
103,EMA_15_CE_strategy,NIFTY,2022-06-09,CE,50,2022-06-09,16400,10:30:00,26.15,11:30:00,14.65
104,EMA_15_CE_strategy,NIFTY,2022-06-09,CE,50,2022-06-09,16400,12:15:00,20.6,13:15:00,8.25
105,EMA_15_CE_strategy,NIFTY,2022-06-09,CE,50,2022-06-09,16400,14:00:00,10.6,15:15:00,71.65
106,EMA_15_CE_strategy,NIFTY,2022-06-15,CE,50,2022-06-16,15800,10:15:00,85.0,10:45:00,74.15
107,EMA_15_CE_strategy,NIFTY,2022-06-15,CE,50,2022-06-16,15700,11:45:00,123.25,14:15:00,128.6
108,EMA_15_CE_strategy,NIFTY,2022-06-16,CE,50,2022-06-16,15800,09:45:00,55.3,10:30:00,25.75
109,EMA_15_CE_strategy,NIFTY,2022-06-17,CE,50,2022-06-23,15300,13:30:00,205.8,14:30:00,179.75
110,EMA_15_CE_strategy,NIFTY,2022-06-17,CE,50,2022-06-23,15300,14:45:00,217.8,15:15:00,181.05
111,EMA_15_CE_strategy,NIFTY,2022-06-20,CE,50,2022-06-23,15300,11:30:00,161.05,13:15:00,165.2
112,EMA_15_CE_strategy,NIFTY,2022-06-23,CE,50,2022-06-23,15500,09:45:00,88.05,12:00:00,53.35
113,EMA_15_CE_strategy,NIFTY,2022-06-23,CE,50,2022-06-23,15500,13:45:00,64.95,15:15:00,58.8
114,EMA_15_CE_strategy,NIFTY,2022-06-24,CE,50,2022-06-30,15700,12:45:00,149.4,13:45:00,129.9
115,EMA_15_CE_strategy,NIFTY,2022-06-24,CE,50,2022-06-30,15700,14:00:00,152.7,15:15:00,163.55
116,EMA_15_CE_strategy,NIFTY,2022-06-28,CE,50,2022-06-30,15800,11:45:00,103.3,12:30:00,99.0
117,EMA_15_CE_strategy,NIFTY,2022-06-28,CE,50,2022-06-30,15800,12:45:00,131.9,13:15:00,87.35
118,EMA_15_CE_strategy,NIFTY,2022-06-29,CE,50,2022-06-30,15800,11:30:00,76.0,12:30:00,72.55
119,EMA_15_CE_strategy,NIFTY,2022-06-29,CE,50,2022-06-30,15800,12:45:00,83.4,15:15:00,70.85
120,EMA_15_CE_strategy,NIFTY,2022-06-30,CE,50,2022-06-30,15900,09:45:00,51.0,10:30:00,25.25
121,EMA_15_CE_strategy,NIFTY,2022-06-30,CE,50,2022-06-30,15800,13:15:00,47.1,14:45:00,16.05
122,EMA_15_CE_strategy,NIFTY,2022-07-01,CE,50,2022-07-07,15600,13:00:00,187.25,14:15:00,183.75
123,EMA_15_CE_strategy,NIFTY,2022-07-01,CE,50,2022-07-07,15700,14:45:00,162.6,15:15:00,183.2
124,EMA_15_CE_strategy,NIFTY,2022-07-04,CE,50,2022-07-07,15700,11:00:00,147.4,15:15:00,209.1
125,EMA_15_CE_strategy,NIFTY,2022-07-06,CE,50,2022-07-07,15900,10:00:00,63.25,11:45:00,50.9
126,EMA_15_CE_strategy,NIFTY,2022-07-06,CE,50,2022-07-07,15900,12:15:00,60.3,14:15:00,72.5
127,EMA_15_CE_strategy,NIFTY,2022-07-06,CE,50,2022-07-07,16000,15:00:00,59.85,15:15:00,69.35
128,EMA_15_CE_strategy,NIFTY,2022-07-08,CE,50,2022-07-14,16200,15:00:00,129.0,15:15:00,147.0
